集團名稱,count
4951  精拓科,1
4949  有成,1
4946  紅心集團,1
4943  康控,1
4942  嘉彰,1
4939  亞電,1
5215  科嘉,1
5212  凌網,1
5211  蒙恬,1
4927  泰鼎國際,1
4924  欣厚,1
5205B 高承本家族,1
5203  訊連,1
5201A 王崇旭家族,1
5016  松和,1
5014  建錩,1
5013  強新,1
4999  鑫禾集團,1
4995  晶達集團,1
25619 欣隆建設,1
1704A KKR集團,1
4987  科誠,1
5284  經寶,1
5283  禾聯碩,1
5274  信驊,1
5272A 笙科電子,1
4973  廣穎,1
4972  湯石照明,1
5251  天鉞電,1
5245  智晶,1
5244  弘凱,1
5230  雷笛克,1
5228  鈺鎧科技,1
5227  F-立凱,1
9102  東亞科集團,1
5223  F-安力,1
5222A 張全生家族,1
5220  萬達光電,1
5386  青雲,1
5355  佳總集團,1
5351  鈺創集團,1
5340A 日東紡績,1
5321A 藤美資本,1
5315A 葉秋芳家族,1
5312  寶島光學集團,1
Z3381 聚合發建設,1
5306A 全仕通實業,1
5301A 寶得利國際,1
5299  杰力,1
5292  華懋科技,1
5291  邑昇,1
5289  宜鼎國際,1
5288  豐祥,1
5287  數字,1
5493  三聯集團,1
5490  同亨,1
5488  松普,1
5487A 通泰,1
5481B 芝麻街美語,1
5475  德宏,1
5474A 同德集團,1
5464  霖宏,1
5460  同協,1
5263  智崴,1
5258  虹堡,1
14811 南良集團,1
5439  高技,1
5434  崇越,1
5426  振發,1
5388  中磊集團,1
1467  南緯集團,1
1466B 周文東家族,1
1465  偉全,1
1464  得力集團,1
1456A 元邦建設,1
1445  大宇台富集團,1
1453  大將,1
1527  鑽全,1
5521  工信工程集團,1
5520  力泰,1
5519  隆大,1
5310  天剛集團,1
5309  系統集團,1
5514A 東台開發,1
5511  德昌,1
5508  永信建設集團,1
5604  中連貨運,1
5452  佶優,1
5548  安倉集團,1
5546  永固集團,1
5543B 莊宏偉團隊,1
20907 東徽企業集團,1
5534  長虹建設,1
5533  皇鼎,1
5531  鄉林建設,1
8378  龍巖集團,1
5525  順天建設,1
25776 豐邑機構,1
1560  中砂集團,1
1541  錩泰,1
1471  首利集團,1
1468  昶和,1
6113  亞矽,1
6108  競國,1
5516  雙喜營造,1
5515  建國工程,1
6026  福邦證集團,1
6021A 亞洲價值資本,1
6020  大展證券,1
6016  康和證券集團,1
6015B 宏遠證券,1
5904  寶雅,1
5880  合庫金控集團,1
28952 上海銀,1
5871  中租集團,1
5706  鳳凰,1
6172  互助營造集團,1
5703  亞都麗緻旅館,1
6150  撼訊,1
M1181 見龍集團,1
6146  耕興,1
6141  柏承,1
6140  訊達,1
6139  亞翔,1
5603  陸海,1
5601  臺聯貨櫃,1
6133  金橋,1
6130C 星寶電子,1
6128  上福,1
5321  九德集團,1
P1215 偉仲企業集團,1
6117  迎廣,1
6115  鎰勝集團,1
6114B 基澤投資,1
6182  合晶集團,1
6180  橘子,1
6179A 亞通利大能源,1
6176  瑞儀,1
25743 大城建設集團,1
6170  統振,1
6165B 浪凡,1
2434A 光大企業,1
6101C 寬魚國際,1
6160  欣技,1
6158  禾昌,1
6156A 松上,1
6155  鈞寶,1
6154  順發,1
6152  百一集團,1
6151  晉倫,1
6207  雷科,1
6206  飛捷,1
6205  詮欣集團,1
6204A 星鑫有限合夥,1
6203  海韻電,1
6202  盛群,1
6201  亞弘電,1
6199A 天品國際,1
6197  佳必琪,1
6195A 怡家國際,1
